too long...

root@comp3134-Winter2023:~# tcpdump -i eth0 port 22

net.cable.rogers.com.59547: Flags [P.], seq 5218036:5218248, ack 2737, win 570, length 212
20:35:29.287620 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5247188:5247400, ack 2773, win 570, length 212
20:35:29.287661 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5247400:5247612, ack 2773, win 570, length 212
20:35:29.287706 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5247612:5247824, ack 2773, win 570, length 212
20:35:29.287746 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5247824:5248036, ack 2773, win 570, length 212
20:35:29.287787 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5248036:5248248, ack 2773, win 570, length 212
20:35:29.287829 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5248248:5248460, ack 2773, win 570, length 212
20:35:29.287871 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5248460:5248672, ack 2773, win 570, length 212
20:35:29.287912 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5248672:5248884, ack 2773, win 570, length 212
20:35:29.287953 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5248884:5249096, ack 2773, win 570, length 212
20:35:29.287993 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5249096:5249308, ack 2773, win 570, length 212
20:35:29.288036 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5249308:5249520, ack 2773, win 570, length 212
20:35:29.288075 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5249520:5249732, ack 2773, win 570, length 212
20:35:29.288115 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5249732:5249944, ack 2773, win 570, length 212
20:35:29.288157 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5249944:5250156, ack 2773, win 570, length 212
20:35:29.288197 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5250156:5250368, ack 2773, win 570, length 212
20:35:29.288237 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5250368:5250580, ack 2773, win 570, length 212
20:35:29.288293 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5250580:5250792, ack 2773, win 570, length 212
20:35:29.288337 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5250792:5251004, ack 2773, win 570, length 212
20:35:29.288381 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5251004:5251216, ack 2773, win 570, length 212
20:35:29.288420 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5251216:5251428, ack 2773, win 570, length 212
20:35:29.288460 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5251428:5251640, ack 2773, win 570, length 212
20:35:29.288501 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5251640:5251852, ack 2773, win 570, length 212
20:35:29.288548 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5251852:5252064, ack 2773, win 570, length 212
20:35:29.288767 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5252064:5252276, ack 2773, win 570, length 212
20:35:29.288811 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5252276:5252488, ack 2773, win 570, length 212
20:35:29.288855 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5252488:5252700, ack 2773, win 570, length 212
20:35:29.288901 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5252700:5252912, ack 2773, win 570, length 212
20:35:29.288944 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5252912:5253124, ack 2773, win 570, length 212
20:35:29.288985 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5253124:5253336, ack 2773, win 570, length 212
20:35:29.289029 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5253336:5253548, ack 2773, win 570, length 212
20:35:29.289070 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5253548:5253760, ack 2773, win 570, length 212
20:35:29.289111 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5253760:5253972, ack 2773, win 570, length 212
20:35:29.289165 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5253972:5254184, ack 2773, win 570, length 212
20:35:29.289208 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5254184:5254396, ack 2773, win 570, length 212
20:35:29.289250 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5254396:5254608, ack 2773, win 570, length 212
20:35:29.289291 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5254608:5254820, ack 2773, win 570, length 212
20:35:29.289331 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5254820:5255032, ack 2773, win 570, length 212
20:35:29.289375 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5255032:5255244, ack 2773, win 570, length 212
20:35:29.289417 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5255244:5255456, ack 2773, win 570, length 212
20:35:29.289459 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5255456:5255668, ack 2773, win 570, length 212
20:35:29.289500 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5255668:5255880, ack 2773, win 570, length 212
20:35:29.289540 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5255880:5256092, ack 2773, win 570, length 212
20:35:29.289584 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5256092:5256304, ack 2773, win 570, length 212
20:35:29.289630 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5256304:5256516, ack 2773, win 570, length 212
20:35:29.289670 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5256516:5256728, ack 2773, win 570, length 212
20:35:29.289712 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5256728:5256940, ack 2773, win 570, length 212
20:35:29.289751 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5256940:5257152, ack 2773, win 570, length 212
20:35:29.289845 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5257152:5257364, ack 2773, win 570, length 212
20:35:29.289888 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5257364:5257576, ack 2773, win 570, length 212
20:35:29.289928 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5257576:5257788, ack 2773, win 570, length 212
20:35:29.289972 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5257788:5258000, ack 2773, win 570, length 212
20:35:29.290013 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5258000:5258212, ack 2773, win 570, length 212
20:35:29.290053 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5258212:5258424, ack 2773, win 570, length 212
20:35:29.290353 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5258424:5258636, ack 2773, win 570, length 212
20:35:29.290401 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5258636:5258848, ack 2773, win 570, length 212
20:35:29.290442 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5258848:5259060, ack 2773, win 570, length 212
20:35:29.290483 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5259060:5259272, ack 2773, win 570, length 212
20:35:29.290522 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5259272:5259484, ack 2773, win 570, length 212
20:35:29.290564 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5259484:5259696, ack 2773, win 570, length 212
20:35:29.290604 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5259696:5259908, ack 2773, win 570, length 212
20:35:29.290644 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5259908:5260120, ack 2773, win 570, length 212
20:35:29.290703 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5260120:5260332, ack 2773, win 570, length 212
20:35:29.290744 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5260332:5260544, ack 2773, win 570, length 212
20:35:29.290786 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5260544:5260756, ack 2773, win 570, length 212
20:35:29.290827 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5260756:5260968, ack 2773, win 570, length 212
20:35:29.290869 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5260968:5261180, ack 2773, win 570, length 212
20:35:29.290913 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5261180:5261392, ack 2773, win 570, length 212
20:35:29.290955 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5261392:5261604, ack 2773, win 570, length 212
20:35:29.290997 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5261604:5261816, ack 2773, win 570, length 212
20:35:29.291041 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5261816:5262028, ack 2773, win 570, length 212
20:35:29.291084 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5262028:5262240, ack 2773, win 570, length 212
20:35:29.291124 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5262240:5262452, ack 2773, win 570, length 212
20:35:29.291166 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5262452:5262664, ack 2773, win 570, length 212
20:35:29.291206 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5262664:5262876, ack 2773, win 570, length 212
20:35:29.291250 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5262876:5263088, ack 2773, win 570, length 212
20:35:29.291294 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5263088:5263300, ack 2773, win 570, length 212
20:35:29.291336 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5263300:5263512, ack 2773, win 570, length 212
20:35:29.291381 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5263512:5263724, ack 2773, win 570, length 212
20:35:29.291422 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5263724:5263936, ack 2773, win 570, length 212
20:35:29.291463 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5263936:5264148, ack 2773, win 570, length 212
20:35:29.291504 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5264148:5264360, ack 2773, win 570, length 212
20:35:29.291545 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5264360:5264572, ack 2773, win 570, length 212
20:35:29.291593 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5264572:5264784, ack 2773, win 570, length 212
20:35:29.291639 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5264784:5264996, ack 2773, win 570, length 212
20:35:29.291680 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5264996:5265208, ack 2773, win 570, length 212
20:35:29.291722 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5265208:5265420, ack 2773, win 570, length 212
20:35:29.291762 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5265420:5265632, ack 2773, win 570, length 212
20:35:29.291804 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5265632:5265844, ack 2773, win 570, length 212
20:35:29.291844 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5265844:5266056, ack 2773, win 570, length 212
20:35:29.291885 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5266056:5266268, ack 2773, win 570, length 212
20:35:29.291931 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5266268:5266480, ack 2773, win 570, length 212
20:35:29.291974 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5266480:5266692, ack 2773, win 570, length 212
20:35:29.292018 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5266692:5266904, ack 2773, win 570, length 212
20:35:29.292065 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5266904:5267116, ack 2773, win 570, length 212
20:35:29.292106 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5267116:5267328, ack 2773, win 570, length 212
20:35:29.292150 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5267328:5267540, ack 2773, win 570, length 212
20:35:29.292195 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5267540:5267752, ack 2773, win 570, length 212
20:35:29.292239 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5267752:5267964, ack 2773, win 570, length 212
20:35:29.292334 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5267964:5268176, ack 2773, win 570, length 212
20:35:29.292377 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5268176:5268388, ack 2773, win 570, length 212
20:35:29.292411 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5268388:5268600, ack 2773, win 570, length 212
20:35:29.292596 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5268600:5268812, ack 2773, win 570, length 212
20:35:29.292692 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5268812:5269024, ack 2773, win 570, length 212
20:35:29.292737 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5269024:5269236, ack 2773, win 570, length 212
20:35:29.292780 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5269236:5269448, ack 2773, win 570, length 212
20:35:29.292822 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5269448:5269660, ack 2773, win 570, length 212
20:35:29.292866 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5269660:5269872, ack 2773, win 570, length 212
20:35:29.292908 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5269872:5270084, ack 2773, win 570, length 212
20:35:29.292950 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5270084:5270296, ack 2773, win 570, length 212
20:35:29.292994 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5270296:5270508, ack 2773, win 570, length 212
20:35:29.293034 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5270508:5270720, ack 2773, win 570, length 212
20:35:29.293076 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5270720:5270932, ack 2773, win 570, length 212
20:35:29.293117 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5270932:5271144, ack 2773, win 570, length 212
20:35:29.293158 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5271144:5271356, ack 2773, win 570, length 212
20:35:29.293203 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5271356:5271568, ack 2773, win 570, length 212
20:35:29.293261 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5271568:5271780, ack 2773, win 570, length 212
20:35:29.293303 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5271780:5271992, ack 2773, win 570, length 212
20:35:29.293345 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5271992:5272204, ack 2773, win 570, length 212
20:35:29.293397 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5272204:5272416, ack 2773, win 570, length 212
20:35:29.293439 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5272416:5272628, ack 2773, win 570, length 212
20:35:29.293481 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5272628:5272840, ack 2773, win 570, length 212
20:35:29.293521 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5272840:5273052, ack 2773, win 570, length 212
20:35:29.293565 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5273052:5273264, ack 2773, win 570, length 212
20:35:29.293610 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5273264:5273476, ack 2773, win 570, length 212
20:35:29.293653 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5273476:5273688, ack 2773, win 570, length 212
20:35:29.293696 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5273688:5273900, ack 2773, win 570, length 212
20:35:29.293737 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5273900:5274112, ack 2773, win 570, length 212
20:35:29.293778 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5274112:5274324, ack 2773, win 570, length 212
20:35:29.293820 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5274324:5274536, ack 2773, win 570, length 212
20:35:29.293866 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5274536:5274748, ack 2773, win 570, length 212
20:35:29.293911 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5274748:5274960, ack 2773, win 570, length 212
20:35:29.293958 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5274960:5275172, ack 2773, win 570, length 212
20:35:29.294014 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5275172:5275384, ack 2773, win 570, length 212
20:35:29.294061 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5275384:5275596, ack 2773, win 570, length 212
20:35:29.294104 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5275596:5275808, ack 2773, win 570, length 212
20:35:29.294148 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5275808:5276020, ack 2773, win 570, length 212
20:35:29.294207 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5276020:5276232, ack 2773, win 570, length 212
