too long...

root@comp3134-Winter2023:~# 20:29:02.771708 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 610192:610348, ack 325, win 570, length 156
20:29:02.788957 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 643836:643992, ack 325, win 570, length 156
20:29:02.789004 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 643992:644148, ack 325, win 570, length 156
20:29:02.789049 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 644148:644304, ack 325, win 570, length 156
20:29:02.789112 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 644304:644460, ack 325, win 570, length 156
20:29:02.789227 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 644460:644616, ack 325, win 570, length 156
20:29:02.789280 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 644616:644772, ack 325, win 570, length 156
20:29:02.789326 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 644772:644928, ack 325, win 570, length 156
20:29:02.789372 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 644928:645084, ack 325, win 570, length 156
20:29:02.789508 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 645084:645240, ack 325, win 570, length 156
20:29:02.789557 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 645240:645396, ack 325, win 570, length 156
20:29:02.789603 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 645396:645552, ack 325, win 570, length 156
20:29:02.789652 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 645552:645708, ack 325, win 570, length 156
20:29:02.789700 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 645708:645864, ack 325, win 570, length 156
20:29:02.789746 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 645864:646020, ack 325, win 570, length 156
20:29:02.789790 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 646020:646176, ack 325, win 570, length 156
20:29:02.789844 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 646176:646332, ack 325, win 570, length 156
20:29:02.789902 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 646332:646488, ack 325, win 570, length 156
20:29:02.789950 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 646488:646644, ack 325, win 570, length 156
20:29:02.790002 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 646644:646800, ack 325, win 570, length 156
20:29:02.790050 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 646800:646956, ack 325, win 570, length 156
20:29:02.790095 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 646956:647112, ack 325, win 570, length 156
20:29:02.790139 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 647112:647268, ack 325, win 570, length 156
20:29:02.790396 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 647268:647424, ack 325, win 570, length 156
20:29:02.790467 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 647424:647580, ack 325, win 570, length 156
20:29:02.790520 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 647580:647736, ack 325, win 570, length 156
20:29:02.794745 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 606604, win 17976, length 0
20:29:02.794746 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 607228, win 17973, length 0
20:29:02.794746 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 607852, win 17971, length 0
20:29:02.794746 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 608476, win 17975, length 0
20:29:02.794834 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 647736:647892, ack 325, win 570, length 156
20:29:02.795177 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 647892:648464, ack 325, win 570, length 572
20:29:02.795256 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 648464:648620, ack 325, win 570, length 156
20:29:02.795311 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 648620:648776, ack 325, win 570, length 156
20:29:02.795357 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 648776:648932, ack 325, win 570, length 156
20:29:02.795404 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 648932:649088, ack 325, win 570, length 156
20:29:02.795454 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 649088:649244, ack 325, win 570, length 156
20:29:02.795524 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 649244:649400, ack 325, win 570, length 156
20:29:02.795578 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 649400:649556, ack 325, win 570, length 156
20:29:02.795625 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 649556:649712, ack 325, win 570, length 156
20:29:02.795735 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 649712:649868, ack 325, win 570, length 156
20:29:02.795791 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 649868:650024, ack 325, win 570, length 156
20:29:02.795842 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 650024:650180, ack 325, win 570, length 156
20:29:02.795888 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 650180:650336, ack 325, win 570, length 156
20:29:02.795939 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 650336:650492, ack 325, win 570, length 156
20:29:02.795995 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 650492:650648, ack 325, win 570, length 156
20:29:02.796045 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 650648:650804, ack 325, win 570, length 156
20:29:02.796233 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 650804:650960, ack 325, win 570, length 156
20:29:02.796327 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 650960:651116, ack 325, win 570, length 156
20:29:02.796379 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 651116:651272, ack 325, win 570, length 156
20:29:02.796424 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 651272:651428, ack 325, win 570, length 156
20:29:02.796701 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 651428:651584, ack 325, win 570, length 156
20:29:02.796893 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 609100, win 17972, length 0
20:29:02.796893 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 609724, win 17976, length 0
20:29:02.796893 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 610348, win 17973, length 0
20:29:02.796893 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 610972, win 17971, length 0
20:29:02.796893 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 616276, win 17976, length 0
20:29:02.796931 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 651584:651740, ack 325, win 570, length 156
20:29:02.797107 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 651740:652416, ack 325, win 570, length 676
20:29:02.797169 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 652416:652572, ack 325, win 570, length 156
20:29:02.797231 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 652572:652728, ack 325, win 570, length 156
20:29:02.797387 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 652728:652884, ack 325, win 570, length 156
20:29:02.797445 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 652884:653040, ack 325, win 570, length 156
20:29:02.797495 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 653040:653196, ack 325, win 570, length 156
20:29:02.797545 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 653196:653352, ack 325, win 570, length 156
20:29:02.797602 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 653352:653508, ack 325, win 570, length 156
20:29:02.797652 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 653508:653664, ack 325, win 570, length 156
20:29:02.797702 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 653664:653820, ack 325, win 570, length 156
20:29:02.797757 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 653820:653976, ack 325, win 570, length 156
20:29:02.797806 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 653976:654132, ack 325, win 570, length 156
20:29:02.797853 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 654132:654288, ack 325, win 570, length 156
20:29:02.797901 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 654288:654444, ack 325, win 570, length 156
20:29:02.798029 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 654444:654600, ack 325, win 570, length 156
20:29:02.798091 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 654600:654756, ack 325, win 570, length 156
20:29:02.798254 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 654756:654912, ack 325, win 570, length 156
20:29:02.798328 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 654912:655068, ack 325, win 570, length 156
20:29:02.798379 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 655068:655224, ack 325, win 570, length 156
20:29:02.798441 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 655224:655380, ack 325, win 570, length 156
20:29:02.798498 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 655380:655536, ack 325, win 570, length 156
20:29:02.798740 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 655536:655692, ack 325, win 570, length 156
20:29:02.798807 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 655692:655848, ack 325, win 570, length 156
20:29:02.798865 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 655848:656004, ack 325, win 570, length 156
20:29:02.798917 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 656004:656160, ack 325, win 570, length 156
20:29:02.798965 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 656160:656316, ack 325, win 570, length 156
20:29:02.799012 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 656316:656472, ack 325, win 570, length 156
20:29:02.799251 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 656472:656628, ack 325, win 570, length 156
20:29:02.799323 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 656628:656784, ack 325, win 570, length 156
20:29:02.799371 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 656784:656940, ack 325, win 570, length 156
20:29:02.799421 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 656940:657096, ack 325, win 570, length 156
20:29:02.799468 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 657096:657252, ack 325, win 570, length 156
20:29:02.799514 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 657252:657408, ack 325, win 570, length 156
20:29:02.799562 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 657408:657564, ack 325, win 570, length 156
20:29:02.799709 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 657564:657720, ack 325, win 570, length 156
20:29:02.799768 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 657720:657876, ack 325, win 570, length 156
20:29:02.799820 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 657876:658032, ack 325, win 570, length 156
20:29:02.799872 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 658032:658188, ack 325, win 570, length 156
20:29:02.799925 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 658188:658344, ack 325, win 570, length 156
20:29:02.799975 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 658344:658500, ack 325, win 570, length 156
20:29:02.800073 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 658500:658656, ack 325, win 570, length 156
20:29:02.800135 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 658656:658812, ack 325, win 570, length 156
20:29:02.800190 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 658812:658968, ack 325, win 570, length 156
20:29:02.800251 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 658968:659124, ack 325, win 570, length 156
20:29:02.800298 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 659124:659280, ack 325, win 570, length 156
20:29:02.800345 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 659280:659436, ack 325, win 570, length 156
20:29:02.800400 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 620280, win 17976, length 0
20:29:02.800401 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 622932, win 17976, length 0
20:29:02.800401 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 629796, win 17976, length 0
20:29:02.800401 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 631668, win 17975, length 0
20:29:02.800401 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 635100, win 17976, length 0
20:29:02.800401 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [P.], seq 325:361, ack 635100, win 17976, length 36
20:29:02.800744 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 659436:659592, ack 361, win 570, length 156
20:29:02.800820 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 659592:660268, ack 361, win 570, length 676
20:29:02.800871 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 660268:660424, ack 361, win 570, length 156
20:29:02.800918 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 660424:660580, ack 361, win 570, length 156
20:29:02.800964 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 660580:660736, ack 361, win 570, length 156
20:29:02.801011 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 660736:660892, ack 361, win 570, length 156
20:29:02.801054 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 660892:661048, ack 361, win 570, length 156
20:29:02.801096 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 661048:661204, ack 361, win 570, length 156
20:29:02.801138 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 661204:661360, ack 361, win 570, length 156
20:29:02.801181 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 661360:661516, ack 361, win 570, length 156
20:29:02.801225 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 661516:661672, ack 361, win 570, length 156
20:29:02.801274 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 661672:661828, ack 361, win 570, length 156
20:29:02.801320 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 661828:661984, ack 361, win 570, length 156
20:29:02.801364 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 661984:662140, ack 361, win 570, length 156
20:29:02.801408 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 662140:662296, ack 361, win 570, length 156
20:29:02.801452 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 662296:662452, ack 361, win 570, length 156
20:29:02.801494 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 662452:662608, ack 361, win 570, length 156
20:29:02.801536 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 662608:662764, ack 361, win 570, length 156
20:29:02.801577 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 662764:662920, ack 361, win 570, length 156
20:29:02.801618 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 662920:663076, ack 361, win 570, length 156
20:29:02.801660 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 663076:663232, ack 361, win 570, length 156
20:29:02.801701 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 663232:663388, ack 361, win 570, length 156
20:29:02.801845 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 663388:663544, ack 361, win 570, length 156
20:29:02.801903 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 663544:663700, ack 361, win 570, length 156
20:29:02.801947 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 663700:663856, ack 361, win 570, length 156
20:29:02.801992 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 663856:664012, ack 361, win 570, length 156
20:29:02.802035 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 664012:664168, ack 361, win 570, length 156
20:29:02.802078 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 664168:664324, ack 361, win 570, length 156
20:29:02.802122 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 664324:664480, ack 361, win 570, length 156
20:29:02.802165 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 664480:664636, ack 361, win 570, length 156
20:29:02.802224 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 664636:664948, ack 361, win 570, length 312
20:29:02.802275 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 664948:665104, ack 361, win 570, length 156
20:29:02.802325 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 665104:665260, ack 361, win 570, length 156
20:29:02.802481 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 665260:665416, ack 361, win 570, length 156
20:29:02.802540 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 665416:665572, ack 361, win 570, length 156
20:29:02.802586 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 665572:665728, ack 361, win 570, length 156
20:29:02.802632 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 665728:665884, ack 361, win 570, length 156
20:29:02.802695 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 665884:666040, ack 361, win 570, length 156
20:29:02.802744 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 666040:666196, ack 361, win 570, length 156
20:29:02.802930 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 637596, win 17976, length 0
20:29:02.802930 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 643212, win 17976, length 0
20:29:02.802931 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 647736, win 17975, length 0
20:29:02.802967 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 666196:666352, ack 361, win 570, length 156
20:29:02.803132 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 666352:666820, ack 361, win 570, length 468
20:29:02.803206 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 666820:666976, ack 361, win 570, length 156
20:29:02.803260 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 666976:667132, ack 361, win 570, length 156
20:29:02.803308 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 667132:667288, ack 361, win 570, length 156
20:29:02.803356 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 667288:667444, ack 361, win 570, length 156
20:29:02.803405 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 667444:667600, ack 361, win 570, length 156
20:29:02.803453 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 667600:667756, ack 361, win 570, length 156
20:29:02.803532 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 667756:667912, ack 361, win 570, length 156
20:29:02.803594 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 667912:668068, ack 361, win 570, length 156
20:29:02.803708 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 668068:668224, ack 361, win 570, length 156
20:29:02.803758 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 668224:668380, ack 361, win 570, length 156
20:29:02.803807 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 668380:668536, ack 361, win 570, length 156
20:29:02.803852 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 668536:668692, ack 361, win 570, length 156
20:29:02.803899 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 668692:668848, ack 361, win 570, length 156
20:29:02.803947 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 668848:669004, ack 361, win 570, length 156
20:29:02.803995 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 669004:669160, ack 361, win 570, length 156
20:29:02.804044 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 669160:669316, ack 361, win 570, length 156
20:29:02.804091 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 669316:669472, ack 361, win 570, length 156
20:29:02.804140 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 669472:669628, ack 361, win 570, length 156
20:29:02.804205 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 669628:669784, ack 361, win 570, length 156
20:29:02.804254 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 669784:669940, ack 361, win 570, length 156
20:29:02.804332 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 669940:670096, ack 361, win 570, length 156
20:29:02.804389 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 670096:670252, ack 361, win 570, length 156
20:29:02.804436 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 670252:670408, ack 361, win 570, length 156
20:29:02.804571 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 670408:670564, ack 361, win 570, length 156
20:29:02.804782 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 670564:670720, ack 361, win 570, length 156
20:29:02.804864 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 670720:670876, ack 361, win 570, length 156
20:29:02.804920 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 670876:671032, ack 361, win 570, length 156
20:29:02.804966 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 671032:671188, ack 361, win 570, length 156
20:29:02.805013 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 671188:671344, ack 361, win 570, length 156
20:29:02.805065 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 671344:671500, ack 361, win 570, length 156
20:29:02.805112 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 671500:671656, ack 361, win 570, length 156
20:29:02.805268 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 671656:671812, ack 361, win 570, length 156
20:29:02.805328 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 671812:671968, ack 361, win 570, length 156
20:29:02.805377 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 671968:672124, ack 361, win 570, length 156
20:29:02.805425 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 672124:672280, ack 361, win 570, length 156
20:29:02.805476 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 672280:672436, ack 361, win 570, length 156
20:29:02.805527 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 672436:672592, ack 361, win 570, length 156
20:29:02.805594 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 672592:672748, ack 361, win 570, length 156
20:29:02.805650 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 672748:672904, ack 361, win 570, length 156
20:29:02.805697 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 672904:673060, ack 361, win 570, length 156
20:29:02.805765 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 673060:673216, ack 361, win 570, length 156
20:29:02.805825 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 673216:673372, ack 361, win 570, length 156
20:29:02.805871 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 673372:673528, ack 361, win 570, length 156
20:29:02.805917 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 673528:673684, ack 361, win 570, length 156
20:29:02.805963 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 673684:673840, ack 361, win 570, length 156
20:29:02.806343 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 673840:673996, ack 361, win 570, length 156
20:29:02.806409 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 673996:674152, ack 361, win 570, length 156
20:29:02.806462 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 674152:674308, ack 361, win 570, length 156
20:29:02.806509 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 674308:674464, ack 361, win 570, length 156
20:29:02.806555 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 674464:674620, ack 361, win 570, length 156
20:29:02.806659 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 674620:674776, ack 361, win 570, length 156
20:29:02.806729 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 674776:674932, ack 361, win 570, length 156
20:29:02.806775 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 674932:675088, ack 361, win 570, length 156
20:29:02.806824 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 675088:675244, ack 361, win 570, length 156
20:29:02.806873 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 675244:675400, ack 361, win 570, length 156
20:29:02.806920 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 675400:675556, ack 361, win 570, length 156
20:29:02.806966 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 675556:675712, ack 361, win 570, length 156
20:29:02.807012 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 675712:675868, ack 361, win 570, length 156
20:29:02.807061 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 675868:676024, ack 361, win 570, length 156
20:29:02.807214 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 676024:676180, ack 361, win 570, length 156
20:29:02.807277 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 676180:676336, ack 361, win 570, length 156
20:29:02.807325 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 676336:676492, ack 361, win 570, length 156
20:29:02.807373 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 676492:676648, ack 361, win 570, length 156
20:29:02.807418 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 676648:676804, ack 361, win 570, length 156
20:29:02.807466 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 676804:676960, ack 361, win 570, length 156
20:29:02.807629 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 676960:677116, ack 361, win 570, length 156
